year,month,title,artist,rank,lyrics
2018.0,1.0,Perfect,Ed Sheeran,1.0,"
I found a love for me
Oh, darlin', just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waitin' for me


'Cause we were just kids when we fell in love
Not knowin' what it was
I will not give you up this time
But, darlin', just kiss me slow
Your heart is all I own
And in your eyes, you're holdin' mine


Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When you said you looked a mess, I whispered underneath my breath
But you heard it, ""Darlin', you look perfect tonight""


Well, I found a woman stronger than anyone I know
She shares my dreams, I hope that, someday, I'll share her home
I found a love to carry more than just my secrets
To carry love, to carry children of our own
See Ed Sheeran LiveGet tickets as low as $86You might also like
We are still kids, but we're so in love
Fightin' against all odds
I know we'll be alright this time
Darlin', just hold my hand
Be my girl, I'll be your man
I see my future in your eyes


Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When I saw you in that dress, lookin' so beautiful
I don't deserve this, darlin', you look perfect tonight


No, no, no
Mm, no, no


Baby, I'm dancin' in the dark with you between my arms
We're barefoot on the grass, oh, listenin' to our favourite song
I have faith in what I see, now I know I have met
An angel in person and she looks perfect
I don't deserve this, you look perfect tonight"
2018.0,1.0,Rockstar,Post Malone Featuring 21 Savage,2.0,"
Hahahahaha
Tank God
Ayy, ayy


I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grra-ta-ta-ta (Ta, pow, pow, pow, ayy, ayy)


Switch my whip, came back in black
I'm startin' sayin', ""Rest in peace to Bon Scott"" (Scott, ayy)
Close that door, we blowin' smoke
She ask me light a fire like I'm Morrison ('Son, ayy)
Act a fool on stage
Prolly leave my fuckin' show in a cop car (Car, ayy)
Shit was legendary
Threw a TV out the window of the Montage
Cocaine on the table, liquor pourin', don't give a damn
Dude, your girlfriend is a groupie, she just tryna get in
Sayin', ""I'm with the band"" (Ayy, ayy)
Now she actin' outta pocket, tryna grab up on my pants
Hundred bitches in my trailer say they ain't got a man
And they all brought a friend (Yeah, ayy, ayy, ayy)
See Post Malone LiveGet tickets as low as $45You might also like
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grra-ta-ta-ta (Ta, pow, pow, pow)


I've been in the Hills fuckin' superstars
Feelin' like a popstar (21, 21, 21)
Drankin' Henny, bad bitches jumpin' in the pool
And they ain't got on no bra (No bra)
Hit her from the back, pullin' on her tracks
And now she screamin' out, ""¡No más!"" (Yeah, yeah, yeah)
They like, ""Savage, why you got a twelve car garage
And you only got six cars?"" (21)
I ain't with the cakin', how you kiss that? (Kiss that?)
Your wifey say I'm lookin' like a whole snack (Big snack)
Green hundreds in my safe, I got old racks (Old racks)
L.A. bitches always askin', ""Where the coke at?"" (21, 21)
Livin' like a rockstar, smash out on a cop car
Sweeter than a Pop-Tart, you know you are not hard
I done made the hot chart, 'member I used to trap hard
Livin' like a rockstar, I'm livin' like a rockstar (Ayy)

I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta, yeah, yeah, yeah, yeah)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grra-ta-ta-ta (Ta, grra-ta-ta-ta-ta)


Star, star, rockstar, rockstar, star
Rockstar
Rockstar, feel just like a–
Rockstar
Rockstar
Rockstar
Feel just like a…"
2018.0,1.0,Havana,Camila Cabello Featuring Young Thug,3.0,"
Hey


Havana, ooh, na-na (Ayy)
Half of my heart is in Havana, ooh na-na (Ayy, ayy)
He took me back to East Atlanta, na-na-na, ah
Oh, but my heart is in Havana (Ayy)
There's somethin' 'bout his manners (Uh-huh)
Havana, ooh, na-na (Uh)


He didn't walk up with that ""how you doin'?"" (Uh)
(When he came in the room)
He said there's a lot of girls I can do with (Uh)
(But I can't without you)
I knew him forever in a minute (Hey)
(That summer night in June)
And papa says he got malo in him (Uh)


He got me feelin' like, ""Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh"" (Ayy)
I knew it when I met him (Ayy), I loved him when I left him
Got me feelin' like, ""Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh""
And then I had to tell him, I had to go
Oh, na-na-na-na-na (Woo)
You might also like
Havana, ooh, na-na (Ooh-ooh, ayy, ayy)
Half of my heart is in Havana, ooh na-na (Ooh-ooh, ayy, ayy, uh-huh)
He took me back to East Atlanta, na-na-na (Ooh-ooh)
Oh, but my heart is in Havana (Ooh-ooh, huh)
My heart is in Havana (Ayy)
Havana, ooh, na-na

(Jeffery) Just graduated, fresh on campus, hmm
Fresh out East Atlanta with no manners, damn (Fresh out East Atlanta)
Bump on her bumper like a traffic jam
Hey, I was quick to pay that girl like Uncle Sam (Here you go, ayy)
Back it on me (Back it up)
Shawty cravin' on me, get to eatin' on me (On me)
She waited on me (And what?)
Shawty cakin' on me, got the bacon on me (Wait up)
This is history in the makin', homie (Homie)
Point blank, close range, that B (Tah, tah)
If it cost a million, that's me (That's me)
I was gettin' mula, baby


Havana, ooh, na-na (Ooh-ooh, ayy, ayy)
Half of my heart is in Havana, ooh, na-na (Ooh-ooh, ayy, ayy, uh-huh)
He took me back to East Atlanta, na-na-na (Oh, no)
Oh, but my heart is in Havana (Ooh-ooh, huh)
My heart is in Havana (Ayy)
Havana, ooh, na-na

Ooh na-na, oh, na-na-na (Ooh, ooh-ooh-ooh-ooh-ooh-ooh)
Take me back, back, back like
Ooh na-na, oh, na-na-na (Yeah, babe)
Take me back, back, back like
Ooh na-na, oh, na-na-na (Yeah, yeah)
Take me back, back, back like
Ooh na-na, oh, na-na-na (Yeah, babe)
Take me back, back, back
Hey, hey
Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Hey)
Ooh, ooh-ooh-ooh-ooh-ooh-ooh-ooh (Hey)
Take me back to my Havana


Havana, ooh, na-na
Half of my heart is in Havana, ooh, na-na (Oh, yeah)
He took me back to East Atlanta, na-na-na (Ayy, ayy)
Oh, but my heart is in Havana
My heart is in Havana (Ayy)
Havana, ooh, na-na (Uh-huh)


Oh, na-na-na (Oh, na, yeah)
Oh, na-na-na
Oh, na-na-na (No, no, no, take me back)
Oh, na-na-na
Havana, ooh, na-na"
2018.0,1.0,Gucci Gang,Lil Pump,4.0,"
Yeah, ooh, brr, brr
Gucci gang, ooh
That's it right there, Gnealz
Yeah, Lil Pump, yeah
Gucci gang, ooh
Ooh, Bi-Bighead on the beat
Yeah, brr


Gucci gang, Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Spend three racks on a new chain (Yeah)
My bitch love do cocaine, ooh (Ooh)
I fuck a bitch, I forgot her name (Brr, yeah)
I can't buy a bitch no wedding ring (Ooh)
Rather go and buy Balmains (Brr)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Gucci gang, Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Spend three racks on a new chain (Huh?)
My bitch love do cocaine, ooh (Brr)
I fuck a bitch, I forgot her name, yuh (Yeah, yeah)
I can't buy no bitch no wedding ring, ooh (Nope)
Rather go and buy Balmains, ayy (Brr)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
You might also like
My lean cost more than your rent, ooh (It do)
Your mom still live in a tent, yuh (Brr)
Still slangin' dope in the jects, huh? (Yeah)
Me and my grandma take meds, ooh (Huh?)
None of this shit be new to me (Nope)
Fuckin' my teacher, call it tutorin' (Yeah)
Bought some Red Bottoms, cost hella G's (Huh?)
Fuck your airline, fuck your company (Fuck it!)
Bitch, your breath smell like some cigarettes (Cigarettes)
I'd rather fuck a bitch from the projects (Yeah)
They kicked me out the plane off a Percocet (Brr)
Now Lil Pump flyin' private jet (Yeah)
Everybody scream, ""Fuck WestJet"" (Fuck 'em)
Lil Pump still sell that meth (Yeah)
Hunnid on my wrist, sippin' on Tech (Brr)
Fuck a lil' bitch, make her pussy wet (What?)


Gucci gang, Gucci gang, Gucci gang, Gucci gang (Gucci gang) Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Spend three racks on a new chain (Huh?)
My bitch love do cocaine, ooh (Yeah)
I fuck a bitch, I forgot her name (Brr)
I can't buy a bitch no wedding ring (Huh?)
Rather go and buy Balmains (Yeah)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Gucci gang, Gucci gang, Gucci gang, Gucci gang
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Spend three racks on a new chain (Huh?)
My bitch love do cocaine, ooh (Brr)
I fuck a bitch, I forgot her name, yeah (Yeah)
I can't buy no bitch no wedding ring, ooh (Nope)
Rather go and buy Balmains, ayy (Huh?)
Gucci gang, Gucci gang, Gucci gang"
2018.0,1.0,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,5.0,"
If I hit it one time, I'ma pipe her
If I hit it two times then I like her
If I fuck three times, I'ma wife her
It ain't safe for the black or the white girls
It ain't safe, it ain't safe, it ain't safe, it ain't safe
Tell your man pipe up, nigga, pipe up
Hunnit bands from the safe in your face, what'd you say? (Ayy, ayy, ayy, ayy, ayy)
Money, dance, turn this shit into a nightclub
(Ayy, ayy, ayy, ayy)


Ayy, yeah, fuck with me and get some money
Yeah, ayy, fuck with me and get some money
Ayy, yeah, fuck with me and get some money
Ayy, yeah, fuck with G and get some money


No limit, I'm a fucking soldier, ayy
Always lit, yeah, I'm never sober
It's been three days in a row, your bitch coming over
Told that bitch to kick rocks, she act like it's a boulder, ayy
'Rari, shopping, let me, cop it
Always, poppin', hella, poppin'
She's a, bopper, homie, hoppin'
Ain't no, stopping, album, droppin'
Got the city on fire
Bitch lying on me like she tired
I might have to fuck around and call Kamaiyah
Ho stirring up the pot, jambalaya
Young Gerald, ayy
See G-Eazy LiveGet tickets as low as $45You might also like
If I hit it one time, I'ma pipe her
If I hit it two times then I like her
If I fuck three times, I'ma wife her
It ain't safe for the black or the white girls
It ain't safe, it ain't safe, it ain't safe, it ain't safe
Tell your man pipe up, nigga, pipe up
Hunnit bands from the safe in your face, what'd you say? (Ayy, ayy, ayy, ayy, ayy)
Money, dance, turn this shit into a nightclub
(Ayy, ayy, ayy, ayy)


Yeah, fuck him then I get some money
Yeah, fuck him then I get some money
Yeah, fuck him then I get some money
Yeah, fuck him then I get some money


I need tongue, I need face, give me brain, concentrate
Apple phone, Prada case, kill a weave, rock a lace
Fuck the Moët, buy the Ace, fuck the Ghost, drive the Wraith
Get some money, flood the Rollie, fuck the Rollie, Patek face
My career takin' off, these hoes jogging in place
Swear these hoes run they mouth, how these hoes out of shape?
Can you stop with all the subs? Bitch, I ain't Jared
If you really want some smoke, you can pull up, you can get it
Grab a hand full of braids, make your nigga eat me out
Put a white boy on Sazón, I might turn G-Eazy out
Keep it G from the club 'til the end from the start
You know me, Cardi B, pussy poppin' on the charts, ah, ah!

If I hit it one time, I'ma pipe her
If I hit it two times then I like her
If I fuck three times, I'ma wife her
It ain't safe for the black or the white girls
It ain't safe, it ain't safe, it ain't safe, it ain't safe
Tell your man pipe up, nigga, pipe up
Hunnit bands from the safe in your face, what'd you say? (Ayy, ayy, ayy, ayy, ayy)
Money, dance, turn this shit into a nightclub
(Ayy, ayy, ayy, ayy)


Ayy, yeah, fuck with me and get some money
Yeah, ayy, fuck with me and get some money
Ayy, yeah, fuck with me and get some money
Ayy, yeah, fuck with G and get some money


Yeah, it ain't nice, fam
You can study where I'm from on my Viceland
This is nothing new to me, this my life, fam
I can pull a million girls from a mic stand
Pull one at my show 'cause I like fans
Later on, I got two in my night plans
Man this year, I had 300 one night stands
Keep a Costco pack of rubbers in my night stand
Damn Daniel, back again with the, hah, Saint-Laurent
Ayy, they send me product, yeah, it's retarded
Ayy, this was free, ayy, bitch you bought it
Bitch you on my dick, ayy, bitch get off it

If I hit it one time, I'ma pipe her
If I hit it two times then I like her (I like her)
If I fuck three times, I'ma wife her (Wife her)
It ain't safe for the black or the white girls
It ain't safe, it ain't safe, it ain't safe, it ain't safe
Tell your man pipe up, nigga, pipe up
Hunnit bands from the safe in your face, what'd you say? (Ayy, ayy, ayy, ayy, ayy)
Money, dance, turn this shit into a nightclub
(Ayy, ayy, ayy, ayy)


Ayy, yeah, fuck with me and get some money
Yeah, ayy, fuck with me and get some money
Ayy, yeah, fuck with me and get some money
Ayy, yeah, fuck with G and get some money"
2018.0,1.0,Thunder,Imagine Dragons,6.0,"
Just a young gun with a quick fuse
I was uptight, wanna let loose
I was dreaming of bigger things and
Wanna leave my own life behind
Not a ""Yes, sir,"" not a follower
Fit the box, fit the mold, have a seat
In the foyer, take a number
I was lightning before the thunder


Thunder, thunder, thunder, thun—
Thunder, th-th-thunder, thunder
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder


Thunder, feel the thunder
Lightning, then the thunder
Thunder, feel the thunder
Lightning, then the thunder, thunder, thunder
Thunder


Kids were laughin' in my classes
While I was schemin' for the masses
Who do you think you are?
Dreaming 'bout being a big star
They say, ""You're basic,"" they say, ""You're easy""
You're always riding in the backseat
Now I'm smilin' from the stage while
You were clappin' in the nosebleeds
See Imagine Dragons LiveGet tickets as low as $58You might also like
Thunder, thunder, thunder, thun—
Thunder, th-th-thunder, thunder
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder


Thunder, feel the thunder
Lightning, then the thunder
Thunder, feel the thunder
Lightning, then the thunder, thunder


Thunder, feel the thunder
Lightning, then the thunder, thunder


Thunder, feel the thunder
Lightning, then the thunder, thunder
Thunder, feel the thunder
Lightning, then the thunder, thunder
Thunder, feel the thunder (Never give up, never give up)
Lightning, then the thunder, thunder (Never give up on your dreams)
Thunder, feel the thunder (Never give up, never give up)
Lightning, then the thunder, thunder (Never give up on your dreams)

Thunder, thunder, thun—
Thunder, th-th-thunder, thunder
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder (Woo)
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder
Thunder, thunder, thun—
Thunder, th-th-thunder, thunder"
2018.0,1.0,MotorSport,"Migos, Nicki Minaj & Cardi B",7.0,"
Yeah, woo, yeah, skrrt
M-M-M-Murda


Motorsport, yeah, put that thing in sport (Skrrt, skrrt)
Shawty bad (Bad), pop her like a cork (Pop it)
You a dork, never been a sport (Dork, yeah)
Pull up, woo, woo, jumpin' out the court (Jump)
Cotton candy (Drink), my cup tastes like the fair (Cotton)
Straight up there (Where?), we didn't take the stairs (Where?)
Faced my fears (My fears), gave my mama tears (Mama)
Shiftin' gears (Shift), on the Nawf, get serious (Serious)


Face all your fears, then get at me
Hit so many donuts on them backstreets
Sit so high in the nosebleeds (Yeah)
Feel like I can fly, yeah
Xans, Perky, check (Yeah), Bill Belichick
Take the air out the ball (Ooh), just so I can flex
Take the air out the mall, walk in with the sacks
Take the air out your broad (Hey), now she can't go back (E)
Xans, Perky, check (Yeah), Bill Belichick
Take the air out the ball (Yeah), just so I can flex
Take the air out the mall (Hey), walk in with the sacks
Take the air out your broad (Woo, woo, woo, E)
You might also like
Offset!
Uh, the coupe came imported (Hey)
This season's Off-White come in snorted (White)
Green Lamborghini a tortoise (Lambo)
No human being, I'm immortal (No)
Patek and A.P. full of water (Patek)
Hundred K, I spend on my señora (Racks)
My pinky on margarine, butter (Margarine)
And my ears got McDonald's nuggets (Ayy)
Soon as I land on the Lear (Whew)
Piguets, they wet, tears ('Guets)
488, hit the gears (488)
Suicide doors, Britney Spears
I'm bougie, so, bitch, don't get near (Bougie)
Criss Angel, make dope disappear (Voilà)
Hit the gas, it got flames out the rears (Skrrt)
It's a race to the bag, get the mills (Hey)


Ride the dick like a BMX
No nigga wanna be my ex (No)
I love when he go on tour
'Cause he cums more, when I see him less
I get up set off
I turn Offset on
I told him the other day
""Man, we should sell that porn""
Yeah, Cardi B, I'm back, bitches
I don't wanna hear I'm actin' different (Yeah)
Same lips that be talkin' 'bout me
Is the same lips that be ass kissin'
These hoes ain't what they say they are
And they pussy stink, they catfishin' (Stank)
Same hoes that was sendin' shots
They reachin' out like they back itchin' (Whoo)
Why would I hop in some beef (Why?)
When I could just hop in a Porsche?
You heard she gon' do what from who?
That's not a reliable source, no
So tell me, have you seen her?
Let me wrap my weave up
I'm the trap Selena
¡Dame más gasolina! Skrrt!

Motorsport, yeah, put that thing in sport (Skrrt, skrrt)
Shawty bad (Bad), pop her like a cork (Pop it)
You a dork, never been a sport (Dork, yeah)
Pull up, woo, woo, jumpin' out the court (Jump)


Uh, yo, watch your man, then you should watch your mouth
Bitches is pressed, administer mouth to mouth
You see them stats, you know what I am about
I am the champ, I'm Iron Mike in a bout
Attention, I'ma need you to face front
You don't want smoke with me, this is a laced blunt
Rap's Jackie Chan, we ain't pullin' them fake stunts
My crown won't fit on your bum-ass lace fronts (Uh)
You bitches catchin' a fade, shout out my nigga Lil Boosie
All of your friends'll be dead, you can get hit with that Uzi
I call him Ricky, he say he love me like Lucy
Get you a straw nigga, you know this pussy is juicy
This Givenchy is custom made, now you can't get it at Saks though
I don't work in no office, but they copyin' and that's facts though
I ain't tryna be violent, but if Nicki on it, it slaps, ho
Get you lined for that paper like a loose leaf when that strap blow
I'm with a couple bad bitches that'll rip the party
If Quavo the QB, I'm Nick Lombardi
Pull up in the space coupe, I done linked with Marty
I can actually afford to get a pink Bugatti
""Ayo, Nick, didn't you just do a hit with Gotti?""
That too, but my niggas send hits like Gotti
It's a wrap, like the things on the head of a Saudi
Bitch, you my son, go and sit on the potty (Rrrrrr)

Brand new Chanels (Chanels)
I scuffed 'em runnin' from 12 (12)
Ain't make no commitment with none of you bitches
'Cause money is treatin' me well (Uh-uh)
If Nicki should show me her titty
Right hand on the Bible, I swear I won't tell (Swear)
If I get to play with that kitty
I wonder how many platinums we gon' sell (Albums)
Pop a Perc' and catch a feel (I pop one)
Now I cannot feel the wheel (Woah)
My chest bad, give me chills (Ice)
And the left hand on Richard Mille (Ice)
Not the watch, but the price on the ice
If you don't know what that is (Huh)
Motorsport, motorville
Abort the mission, that's a kill (Pew, pew, brrr)


Motorsport, yeah, put that thing in sport (Skrrt, skrrt)
Shawty bad (Bad), pop her like a cork (Pop it)
You a dork, never been a sport (Dork, yeah)
Pull up, woo, woo, jumpin' out the court (Jump)
Cotton candy (Drink), my cup tastes like the fair (Cotton)
Straight up there (Where?), we didn't take the stairs (Where?)
Faced my fears (My fears), gave my mama tears (Mama)
Shiftin' gears (Shift), on the Nawf, get serious (Serious)


Girl, yeah, yeah, I wish my grandma could see me (Grandma)
Take away pain, ain't easy (Pain)
That's why I fire up a bleezy (Fire)
Niggas not cappin' this season"
2018.0,1.0,Too Good At Goodbyes,Sam Smith,8.0,"
You must think that I'm stupid
You must think that I'm a fool
You must think that I'm new to this
But I have seen this all before


I'm never gonna let you close to me
Even though you mean the most to me
'Cause every time I open up, it hurts
So I'm never gonna get too close to you
Even when I mean the most to you
In case you go and leave me in the dirt


But every time you hurt me, the less that I cry
And every time you leave me, the quicker these tears dry
And every time you walk out, the less I love you
Baby, we don't stand a chance, it's sad but it's true
I'm way too good at goodbyes
(I'm way too good at goodbyes)
I'm way too good at goodbyes
(I'm way too good at goodbyes)


I know you're thinkin' I'm heartless
I know you're thinkin' I'm cold
I'm just protectin' my innocence
I'm just protectin' my soul
You might also like
I'm never gonna let you close to me
Even though you mean the most to me
'Cause every time I open up, it hurts
So I'm never gonna get too close to you
Even when I mean the most to you
In case you go and leave me in the dirt


But every time you hurt me, the less that I cry
And every time you leave me, the quicker these tears dry
And every time you walk out, the less l love you
Baby, we don't stand a chance, it's sad but it's true
I'm way too good at goodbyes
(I'm way too good at goodbyes)
I'm way too good at goodbyes
(I'm way too good at goodbyes)
No way that you'll see me cry
(No way that you'll see me cry)
I'm way too good at goodbyes
(I'm way too good at goodbyes)


No
No, no, no, no, no
(I'm way too good at goodbyes)
No, no, no, no
No, no, no
(I'm way too good at goodbyes)
(No way that you'll see me cry)
Ah-ah, ah-ah
(I'm way too good at goodbyes)

'Cause every time you hurt me, the less that I cry
And every time you leave me, the quicker these tears dry
And every time you walk out, the less I love you
Baby, we don't stand a chance, it's sad but it's true
I'm way too good at goodbyes"
2018.0,1.0,All I Want For Christmas Is You,Mariah Carey,9.0,"
I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you, yeah


I don't want a lot for Christmas
There is just one thing I need (And I)
Don't care about the presents
Underneath the Christmas tree
I don't need to hang my stocking
There upon the fireplace (Ah)
Santa Claus won't make me happy
With a toy on Christmas Day


I just want you for my own (Ooh)
More than you could ever know (Ooh)
Make my wish come true
All I want for Christmas is you
You, baby
See Mariah Carey LiveGet tickets as low as $41You might also like
Oh, I won't ask for much this Christmas
I won't even wish for snow (And I)
I'm just gonna keep on waiting
Underneath the mistletoe
I won't make a list and send it
To the North Pole for Saint Nick (Ah)
I won't even stay awake to
Hear those magic reindeer click


'Cause I just want you here tonight (Ooh)
Holding on to me so tight (Ooh)
What more can I do?
Oh baby, all I want for Christmas is you
You, baby


Oh, all the lights are shining
So brightly everywhere (So brightly, baby)
And the sound of children's
Laughter fills the air (Oh, oh yeah)
And everyone is singing (Oh yeah)
I hear those sleigh bells ringing (Oh)
Santa, won't you bring me the one I really need? (Yeah, oh, oh)
Won't you please bring my baby to me?

Oh, I don't want a lot for Christmas
This is all I'm asking for (Ah)
I just wanna see my baby
Standing right outside my door


Oh, I just want you for my own (Ooh)
More than you could ever know (Ooh)
Make my wish come true
Oh baby, all I want for Christmas is you


You, baby
All I want for Christmas is you, baby (You)
All I want for Christmas is you, baby (Ah, oh, ah, oh)
All I want for Christmas is you, baby (You)
All I want for Christmas is you, baby (All I really want, baby, ooh)
All I want for Christmas is you, baby (All I want, all I really want is you)"
2018.0,1.0,Bad At Love,Halsey,10.0,"
Got a boy back home in Michigan
And he tastes like Jack when I'm kissin' him
So I told him that I never really liked his friends
Now he's gone and he's callin' me a bitch again
There's a guy that lives in the Garden State
And he told me that we'd make it 'til we graduate
So I told him that the music would be worth the wait
But he wants me in the kitchen with a dinner plate


I believe, I believe, I believe, I believe that we're meant to be
But jealousy, jealousy, jealousy, jealousy get the best of me
Look, I don't mean to frustrate, but I
Always make the same mistakes, yeah
Always make the same mistakes 'cause


I'm bad at love (Ooh-ooh)
But you can't blame me for tryin'
You know I'd be lyin' sayin'
You were the one (Ooh-ooh)
That could finally fix me
Lookin' at my history
I'm bad at love
You might also like
Got a girl with California eyes
And I thought that she could really be the one this time
But I never got the chance to make her mine
Because she fell in love with little thin white lines
London girl with a attitude
We never told no one, but we look so cute
Both got way better things to do
But I always think about her when I'm ridin' through


I believe, I believe, I believe, I believe that I'm in too deep
And jealousy, jealousy, jealousy, jealousy get the best in me
Look, I don't mean to frustrate, but I
Always make the same mistakes, yeah
Always make the same mistakes 'cause


I'm bad at love (Ooh-ooh)
But you can't blame me for tryin'
You know I'd be lyin' sayin'
You were the one (Ooh-ooh)
That could finally fix me
Lookin' at my history
I'm bad at love (Ooh-ooh)

Oh, you know, you know, you know, you know (Ooh-ooh)
I'm bad at love (Ooh-ooh)
I'm bad at love (Ooh-ooh)
Yeah, uh


I know that you're afraid I'm gonna walk away
Each time the feelin' fades
Each time the feelin' fades
I know that you're afraid I'm gonna walk away
Each time the feelin' fades


You know I'm bad at love (Ooh-ooh)
But you can't blame me for tryin'
You know I'd be lyin' sayin'
You were the one (Ooh-ooh)
That could finally fix me
Lookin' at my history
I'm bad at love (Ooh-ooh)


Oh, you know, you know, you know, you know (Ooh-ooh)
I'm bad at love (Ooh-ooh)
Oh, oh"
